trade_id,strategy,gross_pnl,friction_cost,net_pnl,net_won,reason_if_null
87,BEAR_CALL,-3016.0,,,,MISSING_CLOSE_LEG_QUOTES
86,IRON_BUTTERFLY,7470.0,,,,MISSING_CLOSE_LEG_QUOTES
88,IRON_CONDOR,6760.0,,,,MISSING_CLOSE_LEG_QUOTES
89,IRON_BUTTERFLY,10214.0,,,,MISSING_CLOSE_LEG_QUOTES
90,BEAR_CALL,-1422.0,,,,MISSING_CLOSE_LEG_QUOTES
91,BULL_PUT,-2848.0,,,,MISSING_CLOSE_LEG_QUOTES
95,IRON_CONDOR,5526.0,,,,MISSING_CLOSE_LEG_QUOTES
94,IRON_BUTTERFLY,10343.0,,,,MISSING_CLOSE_LEG_QUOTES
93,IRON_CONDOR,721.0,,,,MISSING_CLOSE_LEG_QUOTES
92,IRON_BUTTERFLY,8785.0,,,,MISSING_CLOSE_LEG_QUOTES
96,IRON_BUTTERFLY,9126.0,,,,MISSING_CLOSE_LEG_QUOTES
98,BULL_PUT,1433.0,,,,MISSING_CLOSE_LEG_QUOTES
97,BULL_PUT,1599.0,,,,MISSING_CLOSE_LEG_QUOTES
99,IRON_BUTTERFLY,7787.0,,,,MISSING_CLOSE_LEG_QUOTES
100,IRON_CONDOR,481.0,,,,MISSING_CLOSE_LEG_QUOTES
104,IRON_BUTTERFLY,10185.0,,,,MISSING_CLOSE_LEG_QUOTES
103,IRON_CONDOR,5421.0,,,,MISSING_CLOSE_LEG_QUOTES
102,IRON_BUTTERFLY,8154.0,,,,MISSING_CLOSE_LEG_QUOTES
101,IRON_CONDOR,3078.0,,,,MISSING_CLOSE_LEG_QUOTES
105,IRON_CONDOR,0.0,,,,NULL_EXIT_PREMIUM
106,IRON_CONDOR,0.0,,,,NULL_EXIT_PREMIUM
107,IRON_BUTTERFLY,0.0,,,,NULL_EXIT_PREMIUM
108,IRON_CONDOR,0.0,,,,NULL_EXIT_PREMIUM
109,IRON_BUTTERFLY,0.0,,,,NULL_EXIT_PREMIUM
110,IRON_CONDOR,17.0,,,,MISSING_CLOSE_LEG_QUOTES
112,IRON_CONDOR,5.0,,,,MISSING_CLOSE_LEG_QUOTES
111,IRON_CONDOR,31.0,,,,MISSING_CLOSE_LEG_QUOTES
114,BEAR_CALL,2994.0,,,,MISSING_CLOSE_LEG_QUOTES
113,BEAR_CALL,2575.0,,,,MISSING_CLOSE_LEG_QUOTES
115,IRON_CONDOR,390.0,,,,MISSING_CLOSE_LEG_QUOTES
116,BULL_PUT,2487.0,,,,MISSING_CLOSE_LEG_QUOTES
117,IRON_CONDOR,-88.0,,,,MISSING_CLOSE_LEG_QUOTES
118,IRON_CONDOR,-29.0,,,,MISSING_CLOSE_LEG_QUOTES
119,IRON_CONDOR,-88.0,,,,MISSING_CLOSE_LEG_QUOTES
120,IRON_CONDOR,-91.0,,,,MISSING_CLOSE_LEG_QUOTES
123,BEAR_CALL,117.0,,,,MISSING_CLOSE_LEG_QUOTES
122,IRON_CONDOR,796.0,,,,MISSING_CLOSE_LEG_QUOTES
121,IRON_CONDOR,332.0,,,,MISSING_CLOSE_LEG_QUOTES
124,BULL_PUT,-780.0,,,,MISSING_CLOSE_LEG_QUOTES
125,IRON_CONDOR,-68.0,,,,MISSING_CLOSE_LEG_QUOTES
126,BEAR_CALL,-202.0,,,,MISSING_CLOSE_LEG_QUOTES
128,IRON_CONDOR,20.0,,,,MISSING_CLOSE_LEG_QUOTES
127,IRON_CONDOR,33.0,,,,MISSING_CLOSE_LEG_QUOTES
129,IRON_CONDOR,-634.0,,,,MISSING_CLOSE_LEG_QUOTES
130,IRON_CONDOR,-972.0,,,,MISSING_CLOSE_LEG_QUOTES
131,IRON_CONDOR,-1111.0,,,,MISSING_CLOSE_LEG_QUOTES
132,BEAR_PUT,-208.0,,,,MISSING_CLOSE_LEG_QUOTES
133,BEAR_PUT,-211.0,,,,MISSING_CLOSE_LEG_QUOTES
134,IRON_CONDOR,536.0,,,,MISSING_CLOSE_LEG_QUOTES
135,BEAR_PUT,1287.0,,,,MISSING_CLOSE_LEG_QUOTES
136,IRON_CONDOR,396.0,,,,MISSING_CLOSE_LEG_QUOTES
137,BEAR_CALL,-879.0,,,,MISSING_CLOSE_LEG_QUOTES
138,BEAR_CALL,-431.0,,,,NULL_EXIT_PREMIUM
139,IRON_CONDOR,-1165.0,,,,MISSING_CLOSE_LEG_QUOTES
141,IRON_CONDOR,-1328.0,,,,MISSING_CLOSE_LEG_QUOTES
142,IRON_CONDOR,-1354.0,,,,NULL_EXIT_PREMIUM
140,BEAR_CALL,-423.0,,,,NULL_EXIT_PREMIUM
143,BEAR_CALL,-76.0,,,,MISSING_CLOSE_LEG_QUOTES
144,BEAR_CALL,-426.0,,,,MISSING_CLOSE_LEG_QUOTES
145,BEAR_CALL,164.0,,,,MISSING_CLOSE_LEG_QUOTES
146,BEAR_PUT,819.0,,,,MISSING_CLOSE_LEG_QUOTES
147,BEAR_CALL,-1973.0,,,,MISSING_CLOSE_LEG_QUOTES
148,BEAR_CALL,-413.0,,,,NULL_EXIT_PREMIUM
149,BEAR_CALL,-585.0,,,,MISSING_CLOSE_LEG_QUOTES
150,BEAR_CALL,-413.0,,,,NULL_EXIT_PREMIUM
151,IRON_CONDOR,-1250.0,,,,MISSING_CLOSE_LEG_QUOTES
152,IRON_CONDOR,-359.0,,,,MISSING_CLOSE_LEG_QUOTES
153,IRON_CONDOR,-233.0,,,,NULL_EXIT_PREMIUM
154,IRON_CONDOR,-238.0,,,,MISSING_CLOSE_LEG_QUOTES
156,BEAR_CALL,56.0,,,,MISSING_CLOSE_LEG_QUOTES
155,IRON_CONDOR,-234.0,,,,NULL_EXIT_PREMIUM
157,BULL_PUT,49.0,,,,MISSING_CLOSE_LEG_QUOTES
158,BULL_PUT,-116.0,,,,NULL_EXIT_PREMIUM
161,BEAR_PUT,486.0,,,,MISSING_CLOSE_LEG_QUOTES
160,BEAR_PUT,-142.0,,,,NULL_EXIT_PREMIUM
159,BEAR_CALL,215.0,,,,MISSING_CLOSE_LEG_QUOTES
162,BEAR_CALL,-151.0,,,,MISSING_CLOSE_LEG_QUOTES
163,BEAR_CALL,-62.0,,,,MISSING_CLOSE_LEG_QUOTES
164,IRON_CONDOR,-259.0,,,,NULL_EXIT_PREMIUM
165,BEAR_CALL,115.0,,,,MISSING_CLOSE_LEG_QUOTES
167,BEAR_PUT,-504.0,,,,MISSING_CLOSE_LEG_QUOTES
166,BEAR_PUT,-155.0,,,,NULL_EXIT_PREMIUM
168,BEAR_CALL,-317.0,,,,MISSING_CLOSE_LEG_QUOTES
169,BEAR_CALL,-165.0,,,,NULL_EXIT_PREMIUM
170,BEAR_PUT,883.0,,,,MISSING_CLOSE_LEG_QUOTES
171,BEAR_PUT,836.0,,,,MISSING_CLOSE_LEG_QUOTES
172,BEAR_PUT,-688.0,,,,MISSING_CLOSE_LEG_QUOTES
173,BEAR_PUT,-1359.0,,,,MISSING_CLOSE_LEG_QUOTES
174,BEAR_PUT,-147.0,,,,NULL_EXIT_PREMIUM
175,BEAR_PUT,-151.0,,,,NULL_EXIT_PREMIUM
