trade_id,entry_date,entry_day,strategy,index,lots,entry_prem,exit_prem,actual_pnl,lot_size_used,recon_sign,expected_pnl,implied_multiplier,recon_error,pnl_reconciles,pnl_engine,pnl_engine_reason,structure_incomplete,canonical_won,followed_app
98,2026-04-16T07:53:47.12+00:00,2026-04-16,BULL_PUT,BNF,1.0,266.05,218.3,1433.0,30.0,1.0,1432.5,30.01047120418848,0.5,True,RECONCILED,ACTUAL_PNL_RECONCILES_WITH_STORED_PREMIUMS,False,True,
99,2026-04-16T09:41:01.002+00:00,2026-04-16,IRON_BUTTERFLY,NF,1.0,271.6,151.8,7787.0,65.0,1.0,7787.000000000001,65.0,-9.094947017729282e-13,True,RECONCILED,ACTUAL_PNL_RECONCILES_WITH_STORED_PREMIUMS,False,True,
100,2026-04-16T09:41:07.111+00:00,2026-04-16,IRON_CONDOR,NF,1.0,16.35,8.95,481.0,65.0,1.0,481.0000000000001,64.99999999999999,-1.1368683772161603e-13,True,RECONCILED,ACTUAL_PNL_RECONCILES_WITH_STORED_PREMIUMS,False,True,
101,2026-04-17T05:47:10.713+00:00,2026-04-17,IRON_CONDOR,NF,1.0,91.45,44.1,3078.0,65.0,1.0,3077.75,65.0052798310454,0.25,True,RECONCILED,ACTUAL_PNL_RECONCILES_WITH_STORED_PREMIUMS,False,True,
102,2026-04-17T05:47:17.747+00:00,2026-04-17,IRON_BUTTERFLY,NF,1.0,252.65,127.2,8154.0,65.0,1.0,8154.25,64.99800717417297,-0.25,True,RECONCILED,ACTUAL_PNL_RECONCILES_WITH_STORED_PREMIUMS,False,True,
103,2026-04-17T05:47:23.693+00:00,2026-04-17,IRON_CONDOR,BNF,1.0,312.3,131.6,5421.0,30.0,1.0,5421.000000000001,29.999999999999996,-9.094947017729282e-13,True,RECONCILED,ACTUAL_PNL_RECONCILES_WITH_STORED_PREMIUMS,False,True,
104,2026-04-17T05:47:30.268+00:00,2026-04-17,IRON_BUTTERFLY,BNF,1.0,801.1,461.6,10185.0,30.0,1.0,10185.0,30.0,0.0,True,RECONCILED,ACTUAL_PNL_RECONCILES_WITH_STORED_PREMIUMS,False,True,
105,2026-04-17T08:46:40.757+00:00,2026-04-17,IRON_CONDOR,BNF,1.0,303.4,,0.0,30.0,1.0,,,,,UNKNOWN,MISSING_ENTRY_OR_EXIT_PREMIUM,False,False,
106,2026-04-20T05:37:08.447+00:00,2026-04-20,IRON_CONDOR,BNF,1.0,46.45,,0.0,30.0,1.0,,,,,UNKNOWN,MISSING_ENTRY_OR_EXIT_PREMIUM,False,False,
107,2026-04-20T05:37:19.436+00:00,2026-04-20,IRON_BUTTERFLY,BNF,1.0,783.55,,0.0,30.0,1.0,,,,,UNKNOWN,MISSING_ENTRY_OR_EXIT_PREMIUM,False,False,
108,2026-04-20T05:37:28.36+00:00,2026-04-20,IRON_CONDOR,NF,1.0,30.6,,0.0,65.0,1.0,,,,,UNKNOWN,MISSING_ENTRY_OR_EXIT_PREMIUM,False,False,
109,2026-04-20T05:37:34.17+00:00,2026-04-20,IRON_BUTTERFLY,NF,1.0,196.95,,0.0,65.0,1.0,,,,,UNKNOWN,MISSING_ENTRY_OR_EXIT_PREMIUM,False,False,
110,2026-05-19T04:05:35.039+00:00,2026-05-19,IRON_CONDOR,BNF,1.0,140.65,123.85,17.0,30.0,1.0,504.00000000000034,1.0119047619047612,-487.00000000000034,False,PNL_BASIS_DIVERGENT,ENTRY_BASIS_MISMATCH_EXECUTABLE_VS_STORED,False,True,
