id,actual_pnl,canonical_won,friction_cost,net_pnl,net_won,friction_version
153,-233,False,,,,G2_charges_only_backfill
154,-238,False,,,,G2_charges_only_backfill
155,-234,False,,,,G2_charges_only_backfill
156,56,True,,,,G2_charges_only_backfill
157,49,True,,,,G2_charges_only_backfill
158,-116,False,,,,G2_charges_only_backfill
159,215,True,,,,G2_charges_only_backfill
160,-142,False,,,,G2_charges_only_backfill
161,486,True,,,,G2_charges_only_backfill
162,-151,False,,,,G2_charges_only_backfill
163,-62,False,,,,G2_charges_only_backfill
164,-259,False,,,,G2_charges_only_backfill
165,115,True,,,,G2_charges_only_backfill
166,-155,False,,,,G2_charges_only_backfill
167,-504,False,,,,G2_charges_only_backfill
168,-317,False,,,,G2_charges_only_backfill
169,-165,False,,,,G2_charges_only_backfill
170,883,True,,,,G2_charges_only_backfill
171,836,True,,,,G2_charges_only_backfill
172,-688,False,,,,G2_charges_only_backfill
173,-1359,False,,,,G2_charges_only_backfill
174,-147,False,,,,G2_charges_only_backfill
175,-151,False,,,,G2_charges_only_backfill
