session_window,index_key,side,strategy_family,premium_edge_bucket,vix_bucket,pcr_state,wall_state,killed_rows,killed_priced_rows,killed_positive_rows,killed_positive_rate,killed_avg_net_pnl,killed_median_net_pnl,killed_total_net_pnl,survivor_rows,survivor_priced_rows,survivor_positive_rows,survivor_positive_rate,survivor_avg_net_pnl,survivor_median_net_pnl,survivor_total_net_pnl,killed_minus_survivor_positive_rate,killed_minus_survivor_avg_net_pnl
MORNING_LOCK,BNF,DEBIT,BULL_CALL,EDGE_MISSING,VIX_12_14,PCR_GT_1_05,WALL_UNKNOWN,13,13,1,7.6923076923076925,-532.1761538461539,-406.36,-6918.29,0,0,0,,,,0.0,7.6923076923076925,
LATE,BNF,CREDIT,BEAR_CALL,EDGE_LT_0,VIX_LT_12,PCR_LT_0_95,WALL_UNKNOWN,0,0,0,,,,0.0,30,30,30,100.0,204.85000000000056,138.00000000000153,6145.500000000017,-100.0,
LATE,BNF,CREDIT,BEAR_CALL,EDGE_25_PLUS,VIX_12_14,PCR_LT_0_95,WALL_UNKNOWN,0,0,0,,,,0.0,3,3,2,66.66666666666666,-279.28666666666646,24.00000000000034,-837.8599999999993,-66.66666666666666,
LATE,BNF,DEBIT,BEAR_PUT,EDGE_25_PLUS,VIX_12_14,PCR_GT_1_05,WALL_UNKNOWN,0,0,0,,,,0.0,5,5,0,0.0,-17548.8,-16725.0,-87744.0,0.0,
LATE,BNF,DEBIT,BEAR_PUT,EDGE_25_PLUS,VIX_14_16,PCR_GT_1_05,WALL_UNKNOWN,0,0,0,,,,0.0,45,45,0,0.0,-14171.6,-13620.000000000002,-637722.0,0.0,
LATE,BNF,DEBIT,BEAR_PUT,EDGE_MISSING,VIX_14_16,PCR_GT_1_05,WALL_UNKNOWN,21,21,0,0.0,-800.7838095238095,-825.64,-16816.46,0,0,0,,,,0.0,0.0,
LATE,BNF,DEBIT,BEAR_PUT,EDGE_25_PLUS,VIX_12_14,PCR_LT_0_95,WALL_UNKNOWN,0,0,0,,,,0.0,17,17,0,0.0,-13030.323529411764,-11988.0,-221515.5,0.0,
LATE,BNF,DEBIT,BEAR_PUT,EDGE_MISSING,VIX_12_14,PCR_LT_0_95,WALL_UNKNOWN,3,3,0,0.0,-294.85999999999996,-277.58,-884.5799999999999,0,0,0,,,,0.0,0.0,
LATE,BNF,CREDIT,BULL_PUT,EDGE_LT_0,VIX_LT_12,PCR_LT_0_95,WALL_UNKNOWN,0,0,0,,,,0.0,55,55,1,1.8181818181818181,-115.96363636363621,-115.49999999999983,-6377.999999999992,-1.8181818181818181,
LATE,BNF,CREDIT,BULL_PUT,EDGE_MISSING,VIX_LT_12,PCR_LT_0_95,WALL_UNKNOWN,40,40,0,0.0,-1209.98425,-1176.3200000000002,-48399.37,0,0,0,,,,0.0,0.0,
LATE,BNF,CREDIT,BULL_PUT,EDGE_MISSING,VIX_14_16,PCR_GT_1_05,WALL_UNKNOWN,35,35,0,0.0,-1032.6614285714286,-1064.84,-36143.15,0,0,0,,,,0.0,0.0,
LATE,BNF,CREDIT,BULL_PUT,EDGE_MISSING,VIX_12_14,PCR_GT_1_05,WALL_UNKNOWN,55,55,0,0.0,-678.5698181818182,-672.56,-37321.34,0,0,0,,,,0.0,0.0,
LATE,NF,CREDIT,BEAR_CALL,EDGE_MISSING,VIX_12_14,PCR_0_95_1_05,WALL_UNKNOWN,35,20,0,0.0,-543.592,-541.2,-10871.84,0,0,0,,,,0.0,0.0,
LATE,NF,DEBIT,BEAR_PUT,EDGE_25_PLUS,VIX_14_16,PCR_GT_1_05,WALL_UNKNOWN,0,0,0,,,,0.0,28,28,0,0.0,-10939.964285714286,-11090.625,-306319.0,0.0,
LATE,NF,CREDIT,IRON_CONDOR,EDGE_MISSING,VIX_12_14,PCR_0_95_1_05,WALL_UNKNOWN,24,16,0,0.0,-351.364375,-356.05,-5621.83,0,0,0,,,,0.0,0.0,
MIDDAY,BNF,CREDIT,BEAR_CALL,EDGE_LT_0,VIX_LT_12,PCR_LT_0_95,WALL_UNKNOWN,0,0,0,,,,0.0,95,95,95,100.0,805.4842105263155,718.5000000000005,76520.99999999997,-100.0,
MIDDAY,BNF,CREDIT,BEAR_CALL,EDGE_MISSING,VIX_12_14,PCR_GT_1_05,WALL_UNKNOWN,115,115,0,0.0,-1156.6641739130434,-1097.02,-133016.38,0,0,0,,,,0.0,0.0,
MIDDAY,BNF,DEBIT,BEAR_PUT,EDGE_25_PLUS,VIX_12_14,PCR_LT_0_95,WALL_UNKNOWN,0,0,0,,,,0.0,48,48,11,22.916666666666664,-8227.111111111111,-10122.0,-222132.0,-22.916666666666664,
MIDDAY,BNF,CREDIT,BULL_PUT,EDGE_LT_0,VIX_LT_12,PCR_LT_0_95,WALL_UNKNOWN,0,0,0,,,,0.0,195,195,0,0.0,-567.7846153846167,-543.0000000000016,-110718.00000000025,0.0,
MIDDAY,BNF,CREDIT,BULL_PUT,EDGE_LT_0,VIX_12_14,PCR_LT_0_95,WALL_UNKNOWN,100,90,0,0.0,-316.1187777777778,-335.395,-28450.69,0,0,0,,,,0.0,0.0,
MIDDAY,NF,DEBIT,BEAR_PUT,EDGE_25_PLUS,VIX_12_14,PCR_LT_0_95,WALL_UNKNOWN,0,0,0,,,,0.0,16,16,4,25.0,1056.25,968.5,4225.0,-25.0,
MORNING_LOCK,BNF,CREDIT,BEAR_CALL,EDGE_LT_0,VIX_LT_12,PCR_LT_0_95,WALL_UNKNOWN,0,0,0,,,,0.0,40,40,40,100.0,958.1625000000004,912.000000000001,38326.500000000015,-100.0,
MORNING_LOCK,BNF,DEBIT,BEAR_PUT,EDGE_25_PLUS,VIX_12_14,PCR_0_95_1_05,WALL_UNKNOWN,0,0,0,,,,0.0,9,9,0,0.0,-16530.0,-16802.999999999996,-148770.0,0.0,
MORNING_LOCK,BNF,DEBIT,BEAR_PUT,EDGE_25_PLUS,VIX_12_14,PCR_LT_0_95,WALL_UNKNOWN,0,0,0,,,,0.0,102,102,39,38.23529411764706,-2484.8333333333335,307.5,-111817.50000000001,-38.23529411764706,
MORNING_LOCK,BNF,CREDIT,BULL_PUT,EDGE_LT_0,VIX_LT_12,PCR_LT_0_95,WALL_UNKNOWN,0,0,0,,,,0.0,95,95,0,0.0,-562.0105263157908,-538.5000000000014,-53391.00000000013,0.0,
MORNING_LOCK,NF,CREDIT,BEAR_CALL,EDGE_MISSING,VIX_12_14,PCR_GT_1_05,WALL_UNKNOWN,25,25,0,0.0,-806.3012,-436.72,-20157.53,0,0,0,,,,0.0,0.0,
MORNING_LOCK,NF,DEBIT,BEAR_PUT,EDGE_25_PLUS,VIX_12_14,PCR_LT_0_95,WALL_UNKNOWN,0,0,0,,,,0.0,45,45,21,46.666666666666664,993.5714285714286,1017.25,20865.0,-46.666666666666664,
MORNING_LOCK,NF,DEBIT,BULL_CALL,EDGE_25_PLUS,VIX_12_14,PCR_GT_1_05,WALL_UNKNOWN,0,0,0,,,,0.0,4,4,0,0.0,-11723.5625,-11995.75,-46894.25,0.0,
MORNING_LOCK,NF,DEBIT,BULL_CALL,EDGE_MISSING,VIX_12_14,PCR_GT_1_05,WALL_UNKNOWN,5,5,0,0.0,-916.7459999999999,-945.03,-4583.73,0,0,0,,,,0.0,0.0,
MORNING_LOCK,NF,CREDIT,IRON_CONDOR,EDGE_MISSING,VIX_12_14,PCR_GT_1_05,WALL_UNKNOWN,33,33,0,0.0,-623.5645454545455,-610.29,-20577.63,0,0,0,,,,0.0,0.0,
MORNING_LOCK,NF,CREDIT,IRON_CONDOR,EDGE_MISSING,VIX_12_14,PCR_LT_0_95,WALL_UNKNOWN,35,31,0,0.0,-149.15516129032258,-161.93,-4623.81,0,0,0,,,,0.0,0.0,
