session_window,index_key,side,strategy_family,premium_edge_bucket,vix_bucket,pcr_state,wall_state,killed_rows,killed_priced_rows,killed_positive_rows,killed_positive_rate,killed_avg_net_pnl,killed_median_net_pnl,killed_total_net_pnl,survivor_rows,survivor_priced_rows,survivor_positive_rows,survivor_positive_rate,survivor_avg_net_pnl,survivor_median_net_pnl,survivor_total_net_pnl,killed_minus_survivor_positive_rate,killed_minus_survivor_avg_net_pnl
MIDDAY,NF,CREDIT,IRON_CONDOR,EDGE_MISSING,VIX_12_14,PCR_LT_0_95,WALL_UNKNOWN,199,190,29,15.263157894736842,-289.11552631578945,-124.095,-54931.95,0,0,0,,,,0.0,15.263157894736842,
LATE,BNF,CREDIT,BEAR_CALL,EDGE_MISSING,VIX_12_14,PCR_0_95_1_05,WALL_UNKNOWN,245,230,28,12.173913043478262,-249.78991304347826,-290.245,-57451.68,0,0,0,,,,0.0,12.173913043478262,
MIDDAY,BNF,CREDIT,BEAR_CALL,EDGE_LT_0,VIX_12_14,PCR_LT_0_95,WALL_UNKNOWN,90,80,26,32.5,-45.931375,-54.915000000000006,-3674.51,0,0,0,,,,0.0,32.5,
LATE,NF,CREDIT,BEAR_CALL,EDGE_MISSING,VIX_12_14,PCR_GT_1_05,WALL_UNKNOWN,25,25,25,100.0,1070.0304,1076.83,26750.760000000002,0,0,0,,,,0.0,100.0,
MIDDAY,BNF,CREDIT,BULL_PUT,EDGE_MISSING,VIX_12_14,PCR_GT_1_05,WALL_UNKNOWN,115,115,25,21.73913043478261,-349.8062608695652,-397.66,-40227.72,0,0,0,,,,0.0,21.73913043478261,
MORNING_LOCK,NF,CREDIT,BULL_PUT,EDGE_MISSING,VIX_12_14,PCR_LT_0_95,WALL_UNKNOWN,88,77,21,27.27272727272727,-30.26480519480519,-33.6,-2330.39,0,0,0,,,,0.0,27.27272727272727,
MORNING_LOCK,BNF,CREDIT,BEAR_CALL,EDGE_MISSING,VIX_12_14,PCR_GT_1_05,WALL_UNKNOWN,100,100,21,21.0,-755.3624000000001,-1066.405,-75536.24,0,0,0,,,,0.0,21.0,
LATE,BNF,CREDIT,BEAR_CALL,EDGE_LT_0,VIX_12_14,PCR_LT_0_95,WALL_UNKNOWN,120,115,21,18.26086956521739,-155.91521739130434,-168.67,-17930.25,0,0,0,,,,0.0,18.26086956521739,
MORNING_LOCK,NF,DEBIT,BEAR_PUT,EDGE_MISSING,VIX_12_14,PCR_LT_0_95,WALL_UNKNOWN,27,25,16,64.0,1308.6884,1662.69,32717.21,0,0,0,,,,0.0,64.0,
LATE,BNF,CREDIT,BEAR_CALL,EDGE_MISSING,VIX_12_14,PCR_GT_1_05,WALL_UNKNOWN,70,70,14,20.0,-356.16900000000004,-674.6800000000001,-24931.83,0,0,0,,,,0.0,20.0,
LATE,NF,DEBIT,BEAR_PUT,EDGE_MISSING,VIX_14_16,PCR_GT_1_05,WALL_UNKNOWN,36,36,13,36.11111111111111,3.153333333333337,-57.185,113.52000000000012,0,0,0,,,,0.0,36.11111111111111,
LATE,NF,CREDIT,BULL_PUT,EDGE_MISSING,VIX_14_16,PCR_GT_1_05,WALL_UNKNOWN,105,105,12,11.428571428571429,-255.91866666666667,-200.65,-26871.46,0,0,0,,,,0.0,11.428571428571429,
LATE,BNF,CREDIT,BULL_PUT,EDGE_MISSING,VIX_12_14,PCR_0_95_1_05,WALL_UNKNOWN,245,230,12,5.217391304347826,-750.9776086956522,-564.0350000000001,-172724.85,0,0,0,,,,0.0,5.217391304347826,
MIDDAY,NF,CREDIT,BEAR_CALL,EDGE_MISSING,VIX_12_14,PCR_0_95_1_05,WALL_UNKNOWN,59,57,11,19.298245614035086,-908.1619298245614,-1273.86,-51765.23,0,0,0,,,,0.0,19.298245614035086,
MIDDAY,NF,CREDIT,IRON_CONDOR,EDGE_MISSING,VIX_12_14,PCR_0_95_1_05,WALL_UNKNOWN,98,93,10,10.75268817204301,-402.5611827956989,-470.08,-37438.19,0,0,0,,,,0.0,10.75268817204301,
