snapshot_id,day,menu_size_real,context_rows,context_win_rate_pnl_positive,model_pick_id,model_pick_role,model_pick_strategy,model_predicted_pnl,model_pick_pnl,brain_primary_id,brain_primary_strategy,brain_primary_pnl,menu_avg_pnl_including_no_trade,oracle_pick_id,oracle_pick_strategy,oracle_pnl_including_no_trade,latency_sec
329,2026-06-03,20,256,0.8515625,BULL_PUT_NF_23100_22800_W300,secondary,BULL_PUT,2484.16796875,1946.75,BEAR_CALL_NF_23400_23550_W150,BEAR_CALL,-1436.5,-179.52380952380952,BULL_PUT_NF_23150_22750_W400,BULL_PUT,2561.0,40.71646821399918
335,2026-06-03,15,256,0.8515625,BULL_PUT_NF_23100_22800_W300,secondary,BULL_PUT,2190.841796875,2200.25,BEAR_CALL_NF_23400_23550_W150,BEAR_CALL,-1608.75,-912.84375,BULL_PUT_NF_23100_22700_W400,BULL_PUT,2635.75,40.71646821399918
380,2026-06-03,13,256,0.8515625,BEAR_CALL_NF_23500_23750_W250,secondary,BEAR_CALL,1432.47119140625,-1124.5,BEAR_PUT_NF_23150_23300_W150,BEAR_PUT,-838.5,-1056.1964285714287,__NO_TRADE__,NO_TRADE,0.0,40.71646821399918
391,2026-06-03,15,256,0.8515625,BEAR_CALL_NF_23550_23950_W400,secondary,BEAR_CALL,1746.34033203125,354.25,BEAR_CALL_NF_23550_23700_W150,BEAR_CALL,94.25,111.515625,BEAR_CALL_NF_23550_23950_W400,BEAR_CALL,354.25,40.71646821399918
392,2026-06-03,15,256,0.8515625,BULL_PUT_NF_23250_22850_W400,secondary,BULL_PUT,1737.543701171875,-126.75,BEAR_CALL_NF_23550_23700_W150,BEAR_CALL,334.75,337.796875,BEAR_CALL_NF_23550_23950_W400,BEAR_CALL,906.75,40.71646821399918
393,2026-06-03,15,256,0.8515625,BULL_PUT_NF_23250_22850_W400,secondary,BULL_PUT,1788.8028564453125,-390.0,BEAR_CALL_NF_23600_23750_W150,BEAR_CALL,656.5,116.1875,BEAR_CALL_NF_23600_24000_W400,BEAR_CALL,1569.75,40.71646821399918
394,2026-06-03,15,256,0.8515625,BULL_PUT_NF_23250_22850_W400,secondary,BULL_PUT,1740.702880859375,-234.0,BEAR_CALL_NF_23550_23700_W150,BEAR_CALL,357.5,368.875,BEAR_CALL_NF_23550_23950_W400,BEAR_CALL,1101.75,40.71646821399918
395,2026-06-03,15,256,0.8515625,BULL_PUT_NF_23250_22850_W400,secondary,BULL_PUT,1752.92236328125,-240.5,BEAR_CALL_NF_23550_23700_W150,BEAR_CALL,568.75,511.671875,BEAR_CALL_NF_23550_23950_W400,BEAR_CALL,1446.25,40.71646821399918
396,2026-06-03,20,256,0.8515625,BULL_PUT_NF_23250_22850_W400,secondary,BULL_PUT,1769.708984375,-305.5,BEAR_CALL_NF_23600_23750_W150,BEAR_CALL,591.5,120.07142857142857,BEAR_CALL_NF_23600_24000_W400,BEAR_CALL,1566.5,40.71646821399918
397,2026-06-03,15,256,0.8515625,BULL_PUT_NF_23250_22850_W400,secondary,BULL_PUT,1792.6453857421875,-461.5,BEAR_CALL_NF_23600_23750_W150,BEAR_CALL,721.5,111.109375,BEAR_CALL_NF_23600_24000_W400,BEAR_CALL,1612.0,40.71646821399918
398,2026-06-03,15,256,0.8515625,BULL_PUT_NF_23300_22900_W400,secondary,BULL_PUT,1641.80712890625,-708.5,BEAR_CALL_NF_23600_23750_W150,BEAR_CALL,802.75,583.984375,BEAR_CALL_NF_23600_24000_W400,BEAR_CALL,1846.0,40.71646821399918
399,2026-06-03,15,256,0.8515625,BULL_PUT_NF_23250_22850_W400,secondary,BULL_PUT,1758.9757080078125,-539.5,BEAR_CALL_NF_23600_23750_W150,BEAR_CALL,624.0,47.328125,BEAR_CALL_NF_23600_24000_W400,BEAR_CALL,1540.5,40.71646821399918
400,2026-06-03,15,256,0.8515625,BULL_PUT_NF_23250_22850_W400,secondary,BULL_PUT,1760.551025390625,-295.75,BEAR_CALL_NF_23550_23700_W150,BEAR_CALL,351.0,283.359375,BEAR_CALL_NF_23600_24000_W400,BEAR_CALL,841.75,40.71646821399918
401,2026-06-03,20,256,0.8515625,BULL_PUT_NF_23250_22850_W400,secondary,BULL_PUT,1827.1202392578125,-500.5,BEAR_CALL_NF_23550_23700_W150,BEAR_CALL,390.0,117.92857142857143,BEAR_CALL_NF_23550_23950_W400,BEAR_CALL,975.0,40.71646821399918
402,2026-06-03,15,256,0.8515625,BEAR_CALL_NF_23550_23950_W400,secondary,BEAR_CALL,1853.3271484375,45.5,BEAR_CALL_NF_23550_23700_W150,BEAR_CALL,29.25,-30.0625,BEAR_CALL_NF_23550_23950_W400,BEAR_CALL,45.5,40.71646821399918
403,2026-06-03,10,256,0.8515625,BEAR_CALL_NF_23550_23950_W400,secondary,BEAR_CALL,1827.03759765625,3.25,BEAR_CALL_NF_23550_23700_W150,BEAR_CALL,9.75,0.5909090909090909,BEAR_CALL_NF_23550_23750_W200,BEAR_CALL,22.75,40.71646821399918
404,2026-06-03,15,256,0.8515625,BEAR_CALL_NF_23550_23950_W400,secondary,BEAR_CALL,1887.046630859375,156.0,BEAR_CALL_NF_23550_23700_W150,BEAR_CALL,87.75,49.5625,BEAR_CALL_NF_23550_23950_W400,BEAR_CALL,156.0,40.71646821399918
413,2026-06-04,10,256,0.6171875,BEAR_CALL_NF_23550_23700_W150,secondary,BEAR_CALL,-288.06707763671875,-425.75,BEAR_PUT_NF_23150_23400_W250,BEAR_PUT,-1173.25,-598.8863636363636,__NO_TRADE__,NO_TRADE,0.0,12.96765551599674
414,2026-06-04,11,256,0.6171875,__NO_TRADE__,synthetic_no_trade,NO_TRADE,-156.15028381347656,0.0,BEAR_PUT_BNF_53200_54200_W1000,BEAR_PUT,-705.0,-623.4583333333334,__NO_TRADE__,NO_TRADE,0.0,12.96765551599674
415,2026-06-04,8,256,0.6171875,BEAR_CALL_NF_23550_23700_W150,secondary,BEAR_CALL,-142.14585876464844,-211.25,BEAR_PUT_NF_23200_23400_W200,BEAR_PUT,-601.25,-274.80555555555554,__NO_TRADE__,NO_TRADE,0.0,12.96765551599674
416,2026-06-04,20,256,0.6171875,BEAR_CALL_NF_23600_23750_W150,secondary,BEAR_CALL,295.60772705078125,19.5,BEAR_PUT_NF_23150_23450_W300,BEAR_PUT,-627.25,-85.92857142857143,BEAR_CALL_NF_23600_24000_W400,BEAR_CALL,292.5,12.96765551599674
417,2026-06-04,9,256,0.6171875,BEAR_PUT_BNF_53500_54300_W800,secondary,BEAR_PUT,-229.86083984375,-256.5,BEAR_PUT_NF_23150_23450_W300,BEAR_PUT,-546.0,-279.925,__NO_TRADE__,NO_TRADE,0.0,12.96765551599674
424,2026-06-04,8,256,0.6171875,BEAR_PUT_BNF_53500_54100_W600,secondary,BEAR_PUT,-169.00979614257812,-411.0,BEAR_PUT_NF_23100_23400_W300,BEAR_PUT,-1290.25,-625.7222222222222,__NO_TRADE__,NO_TRADE,0.0,12.96765551599674
425,2026-06-04,12,256,0.6171875,BEAR_CALL_NF_23550_23700_W150,secondary,BEAR_CALL,-259.10760498046875,-357.5,BEAR_PUT_NF_23100_23400_W300,BEAR_PUT,-1394.25,-630.5384615384615,__NO_TRADE__,NO_TRADE,0.0,12.96765551599674
426,2026-06-04,14,256,0.6171875,BEAR_CALL_NF_23600_23750_W150,secondary,BEAR_CALL,210.69313049316406,-120.25,BEAR_PUT_BNF_53400_54200_W800,BEAR_PUT,-333.0,-215.03333333333333,__NO_TRADE__,NO_TRADE,0.0,12.96765551599674
